timestep,left_hip_pitch_joint_pos_diff,left_hip_roll_joint_pos_diff,left_hip_yaw_joint_pos_diff,left_knee_pitch_joint_pos_diff,left_ankle_pitch_joint_pos_diff,left_ankle_roll_joint_pos_diff,left_shoulder_pitch_joint_pos_diff,right_hip_pitch_joint_pos_diff,right_hip_roll_joint_pos_diff,right_hip_yaw_joint_pos_diff,right_knee_pitch_joint_pos_diff,right_ankle_pitch_joint_pos_diff,right_ankle_roll_joint_pos_diff,right_shoulder_pitch_joint_pos_diff,left_hip_pitch_joint_vel,left_hip_roll_joint_vel,left_hip_yaw_joint_vel,left_knee_pitch_joint_vel,left_ankle_pitch_joint_vel,left_ankle_roll_joint_vel,left_shoulder_pitch_joint_vel,right_hip_pitch_joint_vel,right_hip_roll_joint_vel,right_hip_yaw_joint_vel,right_knee_pitch_joint_vel,right_ankle_pitch_joint_vel,right_ankle_roll_joint_vel,right_shoulder_pitch_joint_vel,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_euler_x,base_euler_y,base_euler_z,left_hip_pitch_joint_action,left_hip_roll_joint_action,left_hip_yaw_joint_action,left_knee_pitch_joint_action,left_ankle_pitch_joint_action,left_ankle_roll_joint_action,left_shoulder_pitch_joint_action,right_hip_pitch_joint_action,right_hip_roll_joint_action,right_hip_yaw_joint_action,right_knee_pitch_joint_action,right_ankle_pitch_joint_action,right_ankle_roll_joint_action,right_shoulder_pitch_joint_action
173,-0.023114,-0.030921,0.110100,-0.019540,-0.021080,0.105244,-0.245779,-0.468917,-0.171759,0.220095,0.596171,-0.105066,-0.038339,0.127175,-0.029613,-0.010280,0.022248,0.000460,-0.034027,-0.024861,0.012121,0.000767,0.009053,-0.013349,-0.106638,0.098673,-0.024861,-0.003529,0.103666,0.095834,0.064496,-0.024371,0.018053,0.224216,-0.487274,-1.205471,-0.172986,-0.472133,-0.357552,0.594631,-0.270354,-0.710552,-0.226040,0.292928,0.360969,0.201303,-0.181429,0.043985
174,-0.029058,-0.033414,0.112209,-0.019540,-0.025227,0.101262,-0.243287,-0.468151,-0.169842,0.216643,0.572969,-0.086490,-0.041928,0.125833,-0.029613,-0.013656,0.008746,0.000460,-0.022991,-0.002558,0.014269,0.006291,0.010587,-0.019486,-0.120447,0.107615,-0.032241,-0.008132,0.072235,0.136071,-0.010352,-0.023915,0.018234,0.224610,-0.552042,-1.119345,-0.116214,-0.382552,-0.328119,0.523715,-0.250680,-0.647149,-0.195332,0.260259,0.230950,0.244586,-0.192022,0.026118
175,-0.035003,-0.036482,0.114511,-0.019540,-0.029319,0.102010,-0.239068,-0.466041,-0.167349,0.212233,0.544206,-0.065676,-0.050987,0.123532,-0.029920,-0.015497,0.014269,0.000767,-0.023749,0.004039,0.023476,0.012428,0.012735,-0.021941,-0.135790,0.116099,-0.045833,-0.013963,0.081383,0.173206,-0.114300,-0.023441,0.018898,0.223901,-0.526570,-1.021771,-0.103882,-0.270126,-0.259945,0.424620,-0.265449,-0.552754,-0.110601,0.253902,0.093776,0.264578,-0.186828,0.068902
176,-0.041139,-0.039550,0.118921,-0.019157,-0.037751,0.106468,-0.233316,-0.462782,-0.164281,0.207631,0.515252,-0.042752,-0.061484,0.119889,-0.030841,-0.014883,0.027465,0.001995,-0.029832,-0.017608,0.029613,0.018259,0.017338,-0.023169,-0.150213,0.125978,-0.053260,-0.019793,0.095926,0.193408,-0.089466,-0.022900,0.020262,0.222703,-0.580330,-0.880346,0.074528,-0.117459,-0.155659,0.295045,-0.193633,-0.513230,-0.088208,0.235004,-0.028672,0.292695,-0.162808,0.008028
177,-0.047658,-0.042426,0.125632,-0.018581,-0.041940,0.094741,-0.227179,-0.458371,-0.160446,0.202645,0.482846,-0.015554,-0.069532,0.114903,-0.033909,-0.013349,0.034523,0.003836,-0.039499,-0.041994,0.029920,0.024703,0.021021,-0.026237,-0.166478,0.134379,-0.060386,-0.026544,0.082176,0.215276,0.004429,-0.022482,0.022358,0.222201,-0.590375,-0.703364,0.234517,0.033617,0.043110,0.170654,-0.187269,-0.447232,-0.048975,0.207038,-0.108227,0.272790,-0.137757,0.012186
178,-0.054945,-0.044919,0.132535,-0.017239,-0.050437,0.085898,-0.221810,-0.452427,-0.155653,0.196701,0.447372,0.009470,-0.083735,0.109534,-0.036671,-0.010894,0.033295,0.007825,-0.044622,-0.045327,0.026851,0.032375,0.025317,-0.030534,-0.183355,0.138973,-0.060974,-0.026851,0.083190,0.192076,0.090940,-0.022053,0.024789,0.222646,-0.443680,-0.469841,0.370580,0.116979,0.294856,0.058257,-0.151395,-0.356338,0.016850,0.195338,-0.147743,0.196253,-0.175246,0.010104
179,-0.062807,-0.046453,0.138671,-0.014938,-0.058908,0.079005,-0.216633,-0.444757,-0.150091,0.190181,0.408255,0.036529,-0.094247,0.104357,-0.040047,-0.007518,0.031147,0.015190,-0.039928,-0.033757,0.025624,0.040354,0.028999,-0.033602,-0.200540,0.140575,-0.050214,-0.024396,0.118658,0.116657,0.073807,-0.021445,0.026424,0.223506,-0.194203,-0.261787,0.489224,0.137440,0.519698,-0.067382,-0.089112,-0.201802,0.119975,0.202870,-0.128482,0.090411,-0.221548,-0.004424
180,-0.071052,-0.047411,0.146341,-0.010720,-0.065217,0.075010,-0.212031,-0.435745,-0.143764,0.182895,0.366070,0.065558,-0.097981,0.098988,-0.041581,-0.002915,0.041888,0.023476,-0.026005,-0.021523,0.021634,0.048025,0.033602,-0.036978,-0.216191,0.136493,-0.033405,-0.028692,0.162058,0.067462,0.010515,-0.020090,0.027030,0.223907,0.043242,-0.026815,0.570881,0.161150,0.745911,-0.229187,-0.019147,-0.018004,0.242390,0.202040,-0.089513,-0.042438,-0.266535,-0.009025
181,-0.079106,-0.047411,0.156312,-0.004200,-0.069497,0.073334,-0.208005,-0.425006,-0.136285,0.174841,0.320817,0.088145,-0.105859,0.093236,-0.039740,0.000767,0.054163,0.031761,-0.009608,-0.024161,0.018873,0.056618,0.039126,-0.040047,-0.230614,0.122367,-0.015910,-0.028386,0.221741,0.039676,-0.067805,-0.018312,0.026941,0.223634,0.216773,0.139789,0.557221,0.308447,0.852295,-0.376471,0.053427,0.112068,0.420059,0.244846,-0.069491,-0.139223,-0.409738,-0.061343
182,-0.086392,-0.047028,0.168008,0.002895,-0.067542,0.060769,-0.203786,-0.412351,-0.127465,0.166596,0.278057,0.110672,-0.107816,0.087675,-0.034216,0.003222,0.062141,0.037285,0.006557,-0.065716,0.023169,0.065824,0.047105,-0.040967,-0.238592,0.100319,-0.000213,-0.027772,0.316360,0.047947,-0.107993,-0.015473,0.026756,0.222652,0.633195,0.273524,0.304745,0.547013,0.630133,-0.359293,0.125102,0.196905,0.777802,0.467792,-0.082500,-0.208577,-0.652983,-0.180360
183,-0.091761,-0.045877,0.180472,0.010373,-0.063744,0.035651,-0.197458,-0.397395,-0.116727,0.158734,0.225709,0.126962,-0.104254,0.082114,-0.023476,0.008439,0.061528,0.042808,0.024407,-0.133720,0.033909,0.078406,0.058152,-0.039126,-0.240740,0.070893,-0.003767,-0.028386,0.379790,0.025032,-0.103671,-0.011649,0.026561,0.221685,1.151863,0.324008,-0.156088,0.765778,0.120801,-0.112630,0.245742,0.234922,1.143337,0.762786,-0.085313,-0.312123,-0.865898,-0.345142
184,-0.094253,-0.042234,0.190252,0.020727,-0.061872,0.014566,-0.189980,-0.379945,-0.103113,0.152023,0.177387,0.135095,-0.107983,0.075595,-0.005984,0.023476,0.040967,0.051708,0.009277,-0.109584,0.038512,0.091908,0.074109,-0.028999,-0.241661,0.031000,-0.023948,-0.033909,0.645828,0.073623,-0.159542,-0.005795,0.027241,0.220324,1.122337,0.310228,-0.390870,0.882389,-0.164831,0.078334,0.306535,0.178158,1.039567,0.689493,-0.135153,-0.266691,-0.894761,-0.403407
